address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/languages/0,primaryHost/languages/1,primaryHost/languages/2,primaryHost/languages/3,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,primaryHost/thumbnailUrl,roomType,stars,url,primaryHost/about
"Karachi, Sindh, Pakistan",No,24.94403,67.09962,"A114, Block 1, Metroville 3rd, Gulshan-e-Iqbal",4,29,$29,USD,nightly,,,Kamran,true,https://www.airbnb.com/users/show/181553728,181553728,English,हिन्दी,,,Joined in March 2018,https://a0.muscache.com/im/pictures/user/b8e9259a-64fe-4817-ab49-3ad363888a46.jpg?aki_policy=profile_large,0%,a few days or more,Kamran,https://a0.muscache.com/im/pictures/user/b8e9259a-64fe-4817-ab49-3ad363888a46.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/24622004,"Co-operative, friendly and hospitable."
"Karachi, Sindh, Pakistan",No,24.93232,67.15732,A big size room for 3 near airport in Jauhar,3,28,$28,USD,nightly,,,Ismail,true,https://www.airbnb.com/users/show/205818527,205818527,,,,,Joined in July 2018,https://a0.muscache.com/im/pictures/user/64025bf3-b9c2-47ef-990d-16ec3df6078c.jpg?aki_policy=profile_large,,,Ismail,https://a0.muscache.com/im/pictures/user/64025bf3-b9c2-47ef-990d-16ec3df6078c.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/27316606,
"Karachi, Sindh, Pakistan",No,24.7869,67.05711,Second Chocolate Brownie Lounge,3,37,$37,USD,nightly,4 Reviews,,Syed Wahab,true,https://www.airbnb.com/users/show/335883742,335883742,,,,,Joined in February 2020,https://a0.muscache.com/im/pictures/user/f34f9f49-5e0b-49e2-b27c-3f3860936ad8.jpg?aki_policy=profile_large,,,Syed Wahab,https://a0.muscache.com/im/pictures/user/f34f9f49-5e0b-49e2-b27c-3f3860936ad8.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/46034995,"Experienced host in long term rentals now moving to short term rentals. I am a businessman by profession. Because of natural inclination towards hoteling business, here I am experimenting at Airbnb"
"Karachi, Sindh, Pakistan",No,24.80863,67.03576,Mashwani Guest House Def,2,34,$34,USD,nightly,,,Attiq,true,https://www.airbnb.com/users/show/261633981,261633981,,,,,Joined in May 2019,https://a0.muscache.com/im/pictures/user/f17157ae-fa70-4100-9eab-f26bbd34675d.jpg?aki_policy=profile_large,0%,a few days or more,Attiq,https://a0.muscache.com/im/pictures/user/f17157ae-fa70-4100-9eab-f26bbd34675d.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/34684016,
"Karachi, Sindh, Pakistan",No,24.82761,67.04351,Convenient location for long stay for shopping,2,27,$27,USD,nightly,1 Review,,Imdad,true,https://www.airbnb.com/users/show/151489581,151489581,,,,,Joined in September 2017,https://a0.muscache.com/im/pictures/user/4c99b4ad-3e65-4248-abc6-6bef7728f16b.jpg?aki_policy=profile_large,,,Imdad,https://a0.muscache.com/im/pictures/user/4c99b4ad-3e65-4248-abc6-6bef7728f16b.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/49814085,
"Karachi, Sindh, Pakistan",No,24.90903,67.10814,Step Inn Guest House,2,34,$34,USD,nightly,,,Farooq,true,https://www.airbnb.com/users/show/417589736,417589736,,,,,Joined in August 2021,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,0%,a few days or more,Farooq,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,Private room,,https://www.airbnb.com/rooms/51547036,
"Karachi, Sindh, Pakistan",No,24.80611,67.03498,Spacious rooms available at reasonable prices,2,29,$29,USD,nightly,,,Marium,true,https://www.airbnb.com/users/show/380008497,380008497,,,,,Joined in December 2020,https://a0.muscache.com/im/pictures/user/4eebba87-559c-4c4d-aa6a-db4e0c7b0e52.jpg?aki_policy=profile_large,0%,a few days or more,Marium,https://a0.muscache.com/im/pictures/user/4eebba87-559c-4c4d-aa6a-db4e0c7b0e52.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/47006017,
"Karachi, Sindh, Pakistan",No,24.8024,67.07647,1 bedroom unit with bathroom,4,34,$34,USD,nightly,,,Kamran,true,https://www.airbnb.com/users/show/176925421,176925421,,,,,Joined in March 2018,https://a0.muscache.com/im/pictures/user/b570dbf7-fdda-43a1-844d-47032035568e.jpg?aki_policy=profile_large,,,Kamran,https://a0.muscache.com/im/pictures/user/b570dbf7-fdda-43a1-844d-47032035568e.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/53879760,
"Karachi, Sindh, Pakistan",No,24.80179,67.04686,1 bedroom Apartment with free parking.,2,29,$29,USD,nightly,Identity verified,,Rehan,true,https://www.airbnb.com/users/show/430418164,430418164,,,,,Joined in November 2021,https://a0.muscache.com/im/pictures/user/a902fc47-af20-4948-8bcd-f28cd96933fb.jpg?aki_policy=profile_large,0%,a few days or more,Rehan,https://a0.muscache.com/im/pictures/user/a902fc47-af20-4948-8bcd-f28cd96933fb.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/53169801,
"Karachi, Sindh, Pakistan",No,24.82827,67.03233,Pearl Haven Apptt. Clifton 5 KARACHI,3,26,$26,USD,nightly,,,Saleem,true,https://www.airbnb.com/users/show/221647116,221647116,,,,,Joined in October 2018,https://a0.muscache.com/im/pictures/user/b03a1654-2e67-4a2c-8160-34015e2005ec.jpg?aki_policy=profile_large,0%,a few days or more,Saleem,https://a0.muscache.com/im/pictures/user/b03a1654-2e67-4a2c-8160-34015e2005ec.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/29424436,
