address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/languages/0,primaryHost/languages/1,primaryHost/languages/2,primaryHost/languages/3,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,primaryHost/thumbnailUrl,roomType,stars,url,primaryHost/about
"Lahore, Punjab, Pakistan",No,31.52456,74.45761,Near airport private furnished room,3,16,$16,USD,nightly,Identity verified,,Shahzad,true,https://www.airbnb.com/users/show/398864953,398864953,,,,,Joined in April 2021,https://a0.muscache.com/im/pictures/user/1f46ac7b-7fb2-4d90-9852-4512f2f363a2.jpg?aki_policy=profile_large,,,Shahzad,https://a0.muscache.com/im/pictures/user/1f46ac7b-7fb2-4d90-9852-4512f2f363a2.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/49455681,
"Lahore, Punjab, Pakistan",No,31.42354,74.18649,Large Cosy room in a House on Canal bank,2,27,$27,USD,nightly,Identity verified,,Tahir,true,https://www.airbnb.com/users/show/138025130,138025130,,,,,Joined in July 2017,https://a0.muscache.com/im/pictures/user/24f9458f-12b4-4331-9471-8834b889cd52.jpg?aki_policy=profile_large,,,Tahir,https://a0.muscache.com/im/pictures/user/24f9458f-12b4-4331-9471-8834b889cd52.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/41712126,
"Lahore, Punjab, Pakistan",No,31.46966,74.28893,"Near expo centre,Emporium Mall, canal road Lahore",4,23,$23,USD,nightly,,,Salman,true,https://www.airbnb.com/users/show/279780946,279780946,,,,,Joined in July 2019,https://a0.muscache.com/im/pictures/user/56f26af2-94fc-4bdd-b940-7af7c4f2c385.jpg?aki_policy=profile_large,,,Salman,https://a0.muscache.com/im/pictures/user/56f26af2-94fc-4bdd-b940-7af7c4f2c385.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/37179839,
"Lahore, Punjab, Pakistan",No,31.43371,74.29923,Comfortable room with central location,2,29,$29,USD,nightly,,,Moeid,true,https://www.airbnb.com/users/show/204362617,204362617,,,,,Joined in July 2018,https://a0.muscache.com/im/pictures/user/b67af859-c1db-4fe6-8d8c-01560c55870c.jpg?aki_policy=profile_large,,,Moeid,https://a0.muscache.com/im/pictures/user/b67af859-c1db-4fe6-8d8c-01560c55870c.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/36926901,
"Lahore, Punjab, Pakistan",No,31.39665,74.15496,A Little and Safe White House,2,57,$57,USD,nightly,,,Haroon,true,https://www.airbnb.com/users/show/294451514,294451514,,,,,Joined in September 2019,https://a0.muscache.com/im/pictures/user/da05629b-f01e-417a-aaa9-f0e92cb6d054.jpg?aki_policy=profile_large,,,Haroon,https://a0.muscache.com/im/pictures/user/da05629b-f01e-417a-aaa9-f0e92cb6d054.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/38587027,
"Lahore, Punjab, Pakistan",No,31.50207,74.32859,Miracle's Luxury Room,2,22,$22,USD,nightly,Identity verified,,Muhammad Hanan,true,https://www.airbnb.com/users/show/360429662,360429662,,,,,Joined in August 2020,https://a0.muscache.com/im/pictures/user/b75bc0a7-3dea-4875-b9e4-c2d0822c5ad5.jpg?aki_policy=profile_large,,,Muhammad Hanan,https://a0.muscache.com/im/pictures/user/b75bc0a7-3dea-4875-b9e4-c2d0822c5ad5.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/44544881,
"Lahore, Punjab, Pakistan",No,31.371,74.19994,Private room for family/students/working women,2,23,$23,USD,nightly,Identity verified,,Agha,true,https://www.airbnb.com/users/show/394120346,394120346,,,,,Joined in March 2021,https://a0.muscache.com/im/pictures/user/ad862b70-17ac-4da2-880a-2fe257234a38.jpg?aki_policy=profile_large,,,Agha,https://a0.muscache.com/im/pictures/user/ad862b70-17ac-4da2-880a-2fe257234a38.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/48860589,
"Lahore, Punjab, Pakistan",No,31.43816,74.25204,Feel At home,2,21,$21,USD,nightly,1 Review,,Ali,true,https://www.airbnb.com/users/show/317742511,317742511,,,,,Joined in December 2019,https://a0.muscache.com/im/pictures/user/8e247f75-8be6-4e83-a051-4ad7e3616e0c.jpg?aki_policy=profile_large,0%,a few days or more,Ali,https://a0.muscache.com/im/pictures/user/8e247f75-8be6-4e83-a051-4ad7e3616e0c.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/41874759,
"Lahore, Punjab, Pakistan",No,31.30325,74.07895,Peace full environment,2,19,$19,USD,nightly,,,Anu,true,https://www.airbnb.com/users/show/263036115,263036115,,,,,Joined in May 2019,https://a0.muscache.com/im/pictures/user/8a09eafe-aa1e-4e8e-941d-73d335604cc5.jpg?aki_policy=profile_large,,,Anu,https://a0.muscache.com/im/pictures/user/8a09eafe-aa1e-4e8e-941d-73d335604cc5.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/34898841,
"Lahore, Punjab, Pakistan",No,31.481,74.24994,Lahore House,1,23,$23,USD,nightly,1 Review,,Faisal,true,https://www.airbnb.com/users/show/205985041,205985041,,,,,Joined in July 2018,https://a0.muscache.com/im/pictures/user/041fe865-f5b4-4258-af80-047d22f3282d.jpg?aki_policy=profile_large,0%,a few days or more,Faisal,https://a0.muscache.com/im/pictures/user/041fe865-f5b4-4258-af80-047d22f3282d.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/27335325,
"Lahore, Punjab, Pakistan",No,31.47448,74.30965,New Moon Soon Hotel,16,25,$25,USD,nightly,,,Irfan,true,https://www.airbnb.com/users/show/340058092,340058092,,,,,Joined in March 2020,https://a0.muscache.com/im/pictures/user/8e4f9cf3-1ac6-4b51-918b-c697be7e4998.jpg?aki_policy=profile_large,,,Irfan,https://a0.muscache.com/im/pictures/user/8e4f9cf3-1ac6-4b51-918b-c697be7e4998.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/46743822,
"Lahore, Punjab, Pakistan",No,31.37543,74.19185,It's a decent place for workspace & quick travels,3,21,$21,USD,nightly,Identity verified,,Bahlol Khan,true,https://www.airbnb.com/users/show/223195351,223195351,,,,,Joined in October 2018,https://a0.muscache.com/im/pictures/user/2dfebd2e-66ad-4f32-ab2a-562961fc4e0d.jpg?aki_policy=profile_large,,,Bahlol Khan,https://a0.muscache.com/im/pictures/user/2dfebd2e-66ad-4f32-ab2a-562961fc4e0d.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/47882735,
"Lahore, Punjab, Pakistan",No,31.47293,74.40076,private bedroom in a house at a prime location near Market and other facilities,2,23,$23,USD,nightly,,,Hamza,true,https://www.airbnb.com/users/show/423392130,423392130,,,,,Joined in September 2021,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,20%,a few days or more,Hamza,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,Private room ,,https://www.airbnb.com/rooms/52391405,
"Lahore, Punjab, Pakistan",No,31.44882,74.27987,Private bedrooms on ground floor,3,23,$23,USD,nightly,,,Shahzaib,true,https://www.airbnb.com/users/show/263742240,263742240,,,,,Joined in May 2019,https://a0.muscache.com/im/pictures/user/597d4412-7b1e-4e4a-8ee8-d2f868aa2a3e.jpg?aki_policy=profile_large,,,Shahzaib,https://a0.muscache.com/im/pictures/user/597d4412-7b1e-4e4a-8ee8-d2f868aa2a3e.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/38943563,
"Lahore, Punjab, Pakistan",No,31.46855,74.3105,Hawadar apartments,4,23,$23,USD,nightly,,,Junaid,true,https://www.airbnb.com/users/show/373228019,373228019,English,,,,Joined in October 2020,https://a0.muscache.com/im/pictures/user/448d737b-b3d4-49c2-9b70-f7eda558945a.jpg?aki_policy=profile_large,,,Junaid,https://a0.muscache.com/im/pictures/user/448d737b-b3d4-49c2-9b70-f7eda558945a.jpg?aki_policy=profile_small,Entire place,,https://www.airbnb.com/rooms/46046983,(Phone number hidden by Airbnb)
"Lahore, Punjab, Pakistan",No,31.52218,74.45445,mini place,3,42,$42,USD,nightly,Identity verified,,Umair,true,https://www.airbnb.com/users/show/198835720,198835720,,,,,Joined in June 2018,https://a0.muscache.com/im/pictures/user/7f6f739e-867b-4471-991c-6092af0756a1.jpg?aki_policy=profile_large,,,Umair,https://a0.muscache.com/im/pictures/user/7f6f739e-867b-4471-991c-6092af0756a1.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/26443437,
"Lahore, Punjab, Pakistan",No,31.5454,74.35553,Private Space,1,21,$21,USD,nightly,Identity verified,,Haseeb Ul Hassan,true,https://www.airbnb.com/users/show/362902430,362902430,,,,,Joined in August 2020,https://a0.muscache.com/im/pictures/user/d577f185-910b-4d18-83fc-f02e2b81f612.jpg?aki_policy=profile_large,0%,a few days or more,Haseeb Ul Hassan,https://a0.muscache.com/im/pictures/user/d577f185-910b-4d18-83fc-f02e2b81f612.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/44934687,
"Lahore, Punjab, Pakistan",No,31.46649,74.28922,Double room in Johar Town,2,24,$24,USD,nightly,Identity verified,,Zahid,true,https://www.airbnb.com/users/show/311323432,311323432,,,,,Joined in November 2019,https://a0.muscache.com/im/pictures/user/5e1b9663-25a3-4a4f-a5c7-8f47ceaf0858.jpg?aki_policy=profile_large,0%,a few days or more,Zahid,https://a0.muscache.com/im/pictures/user/5e1b9663-25a3-4a4f-a5c7-8f47ceaf0858.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/40298580,
"Lahore, Punjab, Pakistan",No,31.38663,74.19511,"1-Bedroom with Attached Bath, Kitchen, Free And Safe Parking",2,21,$21,USD,nightly,Identity verified,,Bakir,true,https://www.airbnb.com/users/show/321884813,321884813,,,,,Joined in December 2019,https://a0.muscache.com/im/pictures/user/06db9a0e-14ab-46e1-b166-bf855db49c31.jpg?aki_policy=profile_large,,,Bakir,https://a0.muscache.com/im/pictures/user/06db9a0e-14ab-46e1-b166-bf855db49c31.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/51490579,
"Lahore, Punjab, Pakistan",No,31.49092,74.34244,spacious Ensuite Bedroom with access to kitchen within easy reach of all amenities,2,23,$23,USD,nightly,2 Reviews,Identity verified,M,true,https://www.airbnb.com/users/show/374676789,374676789,,,,,Joined in November 2020,https://a0.muscache.com/im/pictures/user/be6d37d5-cb13-411d-b481-1f73bf054af7.jpg?aki_policy=profile_large,50%,within a day,M,https://a0.muscache.com/im/pictures/user/be6d37d5-cb13-411d-b481-1f73bf054af7.jpg?aki_policy=profile_small,Private room ,,https://www.airbnb.com/rooms/52626253,
